legal_ref_sim,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temparature,top_p,model
0.0333333333333333,5339,32.93115568161011,1150,6489,0.00115407,,,meta-llama/llama-3.3-70b-instruct
0.027027027027027,3883,43.142059087753296,1421,5304,0.001092605,,,meta-llama/llama-3.3-70b-instruct
0.0512820512820512,5360,132.9352638721466,1304,6664,0.0012184,,,meta-llama/llama-3.3-70b-instruct
0.0212765957446808,5115,37.81636118888855,1084,6199,0.00102572,,,meta-llama/llama-3.3-70b-instruct
0.0,3886,26.138952493667603,851,4737,0.00086501,,,meta-llama/llama-3.3-70b-instruct
0.0392156862745098,10427,221.7287695407868,1332,11759,0.00146894,,,meta-llama/llama-3.3-70b-instruct
0.0,19647,31.81263828277588,1061,20708,0.00297851,,,meta-llama/llama-3.3-70b-instruct
0.131578947368421,4216,32.140218019485474,1274,5490,0.00099004,,,meta-llama/llama-3.3-70b-instruct
0.0,5519,42.53800749778748,857,6376,0.001087865,,,meta-llama/llama-3.3-70b-instruct
0.0952380952380952,10181,31.9490749835968,1077,11258,0.00175433,,,meta-llama/llama-3.3-70b-instruct
0.0714285714285714,3733,26.705162048339844,1029,4762,0.00083898,,,meta-llama/llama-3.3-70b-instruct
0.0615384615384615,12222,85.36092567443848,2399,14621,0.00237826,,,meta-llama/llama-3.3-70b-instruct
0.0333333333333333,8342,90.71014189720154,1000,9342,0.00148446,,,meta-llama/llama-3.3-70b-instruct
0.0131578947368421,5126,32.661200284957886,1132,6258,0.00111918,,,meta-llama/llama-3.3-70b-instruct
0.0175438596491228,4904,213.42135667800903,1287,6191,0.00090224,,,meta-llama/llama-3.3-70b-instruct
0.0377358490566037,5318,45.34392428398132,1274,6592,0.00112228,,,meta-llama/llama-3.3-70b-instruct
0.1428571428571428,4407,103.65386295318604,1125,5532,0.00102291,,,meta-llama/llama-3.3-70b-instruct
0.0,5356,47.471421241760254,1254,6610,0.00122466,,,meta-llama/llama-3.3-70b-instruct
0.0149253731343283,5694,29.02184629440308,895,6589,0.00109822,,,meta-llama/llama-3.3-70b-instruct
0.024390243902439,8716,203.9592866897583,1063,9779,0.00121176,,,meta-llama/llama-3.3-70b-instruct
0.2093023255813953,3594,189.31708216667167,5714,9308,0.0026026,,,meta-llama/llama-3.3-70b-instruct
0.06,9515,199.61295628547668,1001,10516,0.00127182,,,meta-llama/llama-3.3-70b-instruct
0.0483870967741935,2751,44.2541093826294,1461,4212,0.000955785,,,meta-llama/llama-3.3-70b-instruct
0.0217391304347826,4682,39.49011993408203,1267,5949,0.0010433,,,meta-llama/llama-3.3-70b-instruct
0.0555555555555555,8920,204.43701577186584,1075,9995,0.001236,,,meta-llama/llama-3.3-70b-instruct
0.0166666666666666,4217,230.30546689033508,1485,5702,0.0008969,,,meta-llama/llama-3.3-70b-instruct
0.0149253731343283,7724,198.3001594543457,951,8675,0.00107672,,,meta-llama/llama-3.3-70b-instruct
0.0,5567,35.26460933685303,1173,6740,0.00119291,,,meta-llama/llama-3.3-70b-instruct
0.0232558139534883,16342,24.76822829246521,629,16971,0.00245777,,,meta-llama/llama-3.3-70b-instruct
0.1428571428571428,20287,95.50431966781616,1085,21372,0.00307131,,,meta-llama/llama-3.3-70b-instruct
0.05,2874,40.37936639785767,1386,4260,0.00092802,,,meta-llama/llama-3.3-70b-instruct
0.0434782608695652,5453,206.2610988616944,1083,6536,0.00089186,,,meta-llama/llama-3.3-70b-instruct
0.0151515151515151,3757,37.665136098861694,1081,4838,0.00086162,,,meta-llama/llama-3.3-70b-instruct
0.0188679245283018,2474,32.268096923828125,1110,3584,0.00076562,,,meta-llama/llama-3.3-70b-instruct
